Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,Microsoft.EntityFrameworkCore.Design 7.0.5,,,,,"Microsoft.EntityFrameworkCore.Design, 7.0.5  Recomendación:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 7.0.5,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 7.0.5  Recomendación:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,Microsoft.EntityFrameworkCore.Tools 7.0.5,,,,,"Microsoft.EntityFrameworkCore.Tools, 7.0.5  Recomendación:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,Microsoft.Extensions.Http 7.0.0,,,,,"Microsoft.Extensions.Http, 7.0.0  Recomendación:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 8.0.1"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,Microsoft.Extensions.Logging.Abstractions 7.0.0,,,,,"Microsoft.Extensions.Logging.Abstractions, 7.0.0  Recomendación:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 8.0.3"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,Microsoft.Extensions.Options.ConfigurationExtensions 7.0.0,,,,,"Microsoft.Extensions.Options.ConfigurationExtensions, 7.0.0  Recomendación:  Remove Microsoft.Extensions.Options.ConfigurationExtensions, and replace with new package Microsoft.Extensions.Options.ConfigurationExtensions 8.0.0"
NuGet.0004,El paquete NuGet contiene una vulnerabilidad de seguridad.,Active,Optional,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,AutoMapper 12.0.1,,,,,"AutoMapper, 12.0.1  Recomendación:  AutoMapper, 16.2.0"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,AutoMapper.Extensions.Microsoft.DependencyInjection 12.0.1,,,,,"AutoMapper.Extensions.Microsoft.DependencyInjection, 12.0.1  Recomendación:  The functionality of this package is now included directly in AutoMapper. Remove AutoMapper.Extensions.Microsoft.DependencyInjection, and replace with new package AutoMapper.Extensions.Microsoft.DependencyInjection, 12.0.1"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,FluentValidation.AspNetCore 11.3.0,,,,,"FluentValidation.AspNetCore, 11.3.0  Recomendación:  Debe reemplazarse. Remove FluentValidation.AspNetCore, and replace with new package FluentValidation.AspNetCore, 11.3.1"
NuGet.0004,El paquete NuGet contiene una vulnerabilidad de seguridad.,Active,Optional,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,MailKit 3.6.0,,,,,"MailKit, 3.6.0  Recomendación:  MailKit, 4.17.0"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,Microsoft.AspNetCore.Identity 2.2.0,,,,,"Microsoft.AspNetCore.Identity, 2.2.0  Recomendación:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Identity, and replace with new package Microsoft.AspNetCore.Identity, 2.3.11"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,System.IdentityModel.Tokens.Jwt 6.35.0,,,,,"System.IdentityModel.Tokens.Jwt, 6.35.0  Recomendación:  Move to latest https://aka.ms/IdentityModel/LTS Remove System.IdentityModel.Tokens.Jwt, and replace with new package System.IdentityModel.Tokens.Jwt, 8.22.0"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net8.0
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Core\Ecommerce.Domain\Ecommerce.Domain\Ecommerce.Domain.csproj,File,src\Core\Ecommerce.Domain\Ecommerce.Domain\Ecommerce.Domain.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 7.0.5,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 7.0.5  Recomendación:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.29"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,src\Core\Ecommerce.Domain\Ecommerce.Domain\Ecommerce.Domain.csproj,File,src\Core\Ecommerce.Domain\Ecommerce.Domain\Ecommerce.Domain.csproj,,,Microsoft.AspNetCore.Identity 2.2.0,,,,,"Microsoft.AspNetCore.Identity, 2.2.0  Recomendación:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Identity, and replace with new package Microsoft.AspNetCore.Identity, 2.3.11"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,src\Core\Ecommerce.Domain\Ecommerce.Domain\Ecommerce.Domain.csproj,File,src\Core\Ecommerce.Domain\Ecommerce.Domain\Ecommerce.Domain.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net8.0
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,,,Microsoft.AspNetCore.Authentication.OpenIdConnect 7.0.5,,,,,"Microsoft.AspNetCore.Authentication.OpenIdConnect, 7.0.5  Recomendación:  Remove Microsoft.AspNetCore.Authentication.OpenIdConnect, and replace with new package Microsoft.AspNetCore.Authentication.OpenIdConnect 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 7.0.5,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 7.0.5  Recomendación:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore 7.0.5,,,,,"Microsoft.EntityFrameworkCore, 7.0.5  Recomendación:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 7.0.5,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 7.0.5  Recomendación:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Tools 7.0.5,,,,,"Microsoft.EntityFrameworkCore.Tools, 7.0.5  Recomendación:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,,,Microsoft.Extensions.Options.ConfigurationExtensions 7.0.0,,,,,"Microsoft.Extensions.Options.ConfigurationExtensions, 7.0.0  Recomendación:  Remove Microsoft.Extensions.Options.ConfigurationExtensions, and replace with new package Microsoft.Extensions.Options.ConfigurationExtensions 8.0.0"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recomendación:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,,,System.IdentityModel.Tokens.Jwt 6.35.0,,,,,"System.IdentityModel.Tokens.Jwt, 6.35.0  Recomendación:  Move to latest https://aka.ms/IdentityModel/LTS Remove System.IdentityModel.Tokens.Jwt, and replace with new package System.IdentityModel.Tokens.Jwt, 8.22.0"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net8.0
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Services\Auth\AuthService.cs,54,12,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.WriteToken(Microsoft.IdentityModel.Tokens.SecurityToken),,,,,var tokenResponse = tokenHandler.WriteToken(token);
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Services\Auth\AuthService.cs,53,12,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.CreateToken(Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor),,,,,var token = tokenHandler.CreateToken(tokenDescription);
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Services\Auth\AuthService.cs,52,12,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,var tokenHandler = new JwtSecurityTokenHandler();
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Services\Auth\AuthService.cs,52,12,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,var tokenHandler = new JwtSecurityTokenHandler();
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Services\Auth\AuthService.cs,31,12,T:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames,,,,,"var claims= new List<Claim> {                   new Claim(JwtRegisteredClaimNames.NameId, user.UserName!),                  new Claim(""userId"", user.Id),                  new Claim(""email"", user.Email!)};"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,src\Infrastructure\Ecommerce.Infrastructure\Ecommerce.Infrastructure.csproj,File,src\Infrastructure\Ecommerce.Infrastructure\Services\Auth\AuthService.cs,31,12,F:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames.NameId,,,,,"var claims= new List<Claim> {                   new Claim(JwtRegisteredClaimNames.NameId, user.UserName!),                  new Claim(""userId"", user.Id),                  new Claim(""email"", user.Email!)};"
